start	end	text
0	2500	I sure hope you're hungry!
2500	4200	Cool, I'm starving!
4200	8100	Wash those hands, pull up a chair, and secure that feedback.
8100	14200	Because it's time to listen to Scott Tolinsky and Wes Boss attempt to use human language to converse with
14200	16800	and pick the brains of other developers.
16800	18800	I thought there was gonna be food!
18800	21700	So buckle up and grab that old f***ing handle
21700	25000	because this ride is going to get wild!
26000	27300	This is...
27300	29700	The Syntax Supper Club!
30000	38500	Welcome to Syntax!
38500	41500	The podcast with the tastiest web development treats out there.
41500	44500	We've got another banger Supper Club for you today.
44500	46500	We have somebody who has...
46500	48500	I'm gonna admit it, a cooler name than I have.
48500	53000	Dax Rad is on today to talk about...
53000	56900	I think we're just gonna be talking mostly about serverless hosting Next.js.
56900	58900	He's behind a couple different projects.
58900	61400	SST as well as Open Next.js.
61400	63400	We're excited to talk all about that.
63400	64400	Welcome, Dax. How you doing?
64400	65900	I'm doing great. Thanks for having me on.
65900	67400	You're welcome. You're welcome.
67400	69400	We're sponsored today by Sentry.
69400	71400	Let's talk about their new APM.
71400	72400	What is APM?
72400	74400	Application, Performance, Monitor.
74400	76400	So what that will do is...
76400	81400	You're throwing your application and it's sort of trying to monitor things that will make your website slow.
81400	86400	We had a show a couple days ago about slow websites and what could possibly cause it.
86400	90400	So what Sentry will do is it will detect common things.
90400	95400	Large render blocking assets, slow database queries, file IO on the main thread.
95400	97400	That's probably not something you want to do.
97400	102400	You know, in Node, you have that right file sync, which is...
102400	104400	That will block up your main thread.
104400	110400	Anything else running on that main thread will not be able to go until you've actually finished writing that file.
110400	112400	So that could be a big, big no-no.
112400	114400	You're gonna want to check it out.
114400	116400	There's lots in this APM.
116400	120400	I'm sure I'll go into the features of it over the next couple of ad reads.
120400	122400	You want to check it out at Sentry.io.
122400	125400	Use a coupon code, tastytreat, for two months for free.
125400	132400	I also want to check out their blog post, which is the new APM actionable, affordable, and actually built for developers.
132400	134400	Thank you, Sentry, for sponsoring.
134400	140400	We'll start this by just saying 2023, I said, is my year for AWS.
140400	145400	So I've been looking at some of my server bills and whatnot.
145400	150400	And I say, man, this is real expensive to be able to do this stuff.
150400	155400	And then I look over at AWS and I go, that's too hard.
155400	160400	And I'm stuck in this position of something is very expensive and obviously easy,
160400	164400	versus something that is, I think, cheaper.
164400	165400	We'll see.
165400	168400	But it's just like, there's so many pieces to it.
168400	173400	So we're trying to, like this year, we're trying to get a little bit more into AWS and understand all the different parts and whatnot.
173400	178400	So you're the first person that we're having on to sort of talk about that type of stuff.
178400	182400	Let's talk about, you want to give like a quick rundown of who you are and what you do.
182400	187400	And then I thought we'll get into the open next year stuff first and then we'll get into the SST stuff.
187400	188400	Yeah, sounds good.
188400	190400	So again, my name is Dax.
190400	194400	I work entirely on open source to a pretty lucky situation that I'm in.
194400	198400	The primary project that I work on is called SST.
198400	207400	It's a framework that helps people like yourself start to build things on AWS without fully being exposed to the monstrosity that is AWS.
207400	211400	Because like you said, there's a lot of great reasons to be building on AWS,
211400	216400	especially for things that are a little bit more serious and as you start to get to a certain scale.
216400	220400	But it's pretty unapproachable for the average person.
220400	226400	So our job is to really go dig through all the AWS docs, read everything,
226400	232400	figure out all the little weird quirks and then expose something that makes a lot more sense for the end user,
232400	239400	figure out what kind of rough edges there are on their day to day development cycles and make all that smoother.
239400	244400	I'll start this with a question is, and I went down this rabbit hole the other day.
244400	250400	I put a tweet out where I logged into AWS and I looked at some of the profiles I had created.
250400	253400	And one of them was 12 years old.
253400	256400	And I tweeted like, has it gotten any better in about 12 years?
256400	259400	And half people are like, no, and half the people are yes.
259400	265400	So I was like, I just want to deploy a serverless function raw to AWS.
265400	269400	And I like got into it and like there's no build pipeline and there's all these products.
269400	275400	Why does AWS not have something like Netlify or Vercel?
275400	277400	Or like, why don't they have that?
277400	282400	And like, why is there all these businesses built up on top of AWS being easier?
282400	288400	The thing is AWS does think they have that and they have like three or four attempts at building something like Netlify
288400	291400	or Vercel or Heroku or whatever.
291400	292400	I think I forgot who it was.
292400	295400	Someone documented all different ways to deploy a container.
295400	300400	And there's like something create like 18 different ways that you can do it because they represent all these attempts at
300400	306400	AWS trying to create a higher level abstraction for to make some of these things simpler.
306400	308400	I just don't think it's in their DNA.
308400	311400	They are an infrastructure hyperscaler company.
311400	317400	They're about deploying like a crazy amount of physical hardware across the whole world, have it working.
317400	322400	That is really far removed to what a developer experiences day to day when they're trying to build something.
323400	325400	I think it's an awkward fit for them culturally.
325400	326400	Interesting.
326400	330400	Yeah, it does feel like that's been a long time thing forever.
330400	341400	I mean, even into Amazon.com itself, they've never had the polish, I think, in the UI department that many other companies have.
341400	345400	And that does seem to turn off people from AWS.
345400	351400	And like you mentioned, Wes, it opens up the door for all these other businesses that are built on top of AWS just to make it
351400	353400	easier on folks, right?
353400	361400	So do you think it's a positive thing that AWS hasn't figured this out because it enables all these other companies to exist?
361400	364400	Or do you think they'll get there eventually?
364400	370400	Yeah, I think for me, I always, I find myself in a tricky situation because I'll be trying to do something at AWS.
370400	373400	I'll be really frustrated and wish that it was better.
373400	377400	And I'll be annoyed with the teams behind certain services that are creating these problems.
377400	383400	And then I'll realize, oh, well, if they were actually doing all those things, I wouldn't really have a job.
383400	386400	So I definitely appreciate the gap that it creates.
386400	388400	I think it is a good system.
388400	391400	AWS's scope is just massive.
391400	394400	They're trying to serve every possible business out there.
394400	398400	And the reality is to build good services.
398400	400400	You do have to narrow your scope a lot.
400400	406400	A lot of these companies that people like, like Versailles or Netlify, their scope is a lot narrower in terms of what they try to offer
406400	410400	and who they try to serve than what AWS can do.
410400	412400	And that's kind of why they have a good product.
412400	421400	And I think at some, I think there's a reality of it where at the scope the AWS has, it just, you just can't really build anything that great.
421400	424400	All right, let's get into the open Next.js stuff.
424400	430400	So Next.js, huge, probably the largest React framework for building a website out there.
430400	432400	It sort of encompasses a lot.
433400	438400	And it is obviously very tightly, not tightly, but it is, it's the baby of Versailles.
438400	448400	And Versailles is this amazing hosting platform that does images and CDN and caching and deploy previews and serverless and edge functions.
448400	450400	And they do all the stuff.
450400	457400	And the like experience of writing an XJS app and hosting it on Versailles is a very, very nice experience.
458400	462400	We host the, that's the exact stack and hosting platform we use for the syntax website.
462400	470400	But there's often been people saying, well, it's not that easy to host an XJS site anywhere else.
470400	473400	They provide some sort of, some outlets and whatnot.
473400	478400	So do you want to give us like a rundown of like, what is the open Next.js project?
478400	485400	Yeah, so I think the premise is, like you said, Next.js hosted on Versailles is an incredible experience.
486400	492400	And trying to host it in other places, you kind of have a variety of different, different options and variety of different experiences you can have.
492400	495400	So you can self host Next.js in a container.
495400	502400	It's pretty easy for Versailles to support that because it's just a long running process that can literally just do everything that they needed to do.
502400	508400	But for a lot of people self hosting Next.js in a container is pretty different than what they get from Versailles.
508400	511400	Just in terms of costs, yes, I mean, it's always running.
511400	518400	It's a little bit, it's a lot more expensive to have like global availability, things like that when you have to deploy containers everywhere.
518400	530400	When most people think of I want to self host Next.js, they expect it to be entirely serverless, deploying to functions and kind of serverless primitives that AWS offers.
530400	534400	And the process for doing that isn't actually straightforward.
535400	538400	I'm not going to say Versailles like explicitly doesn't let you do that.
538400	548400	They actually do put in a lot of effort in creating standard outputs so that you can take an Next.js app and potentially get it to be self hosted in AWS.
548400	555400	But the gap there of what you get from that build output to actually deploying is pretty massive.
555400	557400	You need to one be an expert in AWS.
557400	560400	You really need to understand the different ways you can do things.
560400	569400	You also need to understand pretty detailed internals of Next.js, understand different components that Next actually offers.
569400	572400	And there's not just a single way you can deploy AWS.
572400	575400	There's a lot of different ways you can deploy with different trade offs.
575400	580400	You can, you know, some functionality just cannot work in an entirely of some environment.
580400	584400	It's really difficult and takes a lot of man hours to just figure that out.
585400	590400	So that's what we started to open Next project because there were a lot of kind of disparate efforts of doing this.
590400	595400	We had a, there's like an older project called serverless Next.js that a lot of companies were using.
595400	601400	In fact, AWS even used to use this open source project internally to power their Next.js offering.
601400	604400	Of course, like one person cannot maintain that long term.
604400	608400	That project kind of died and have kind of few offshoots of trying to do this.
608400	617400	And there was enough interest in our community of people wanting to run Next.js in AWS where we avoided building this project for a while.
617400	619400	We really didn't want to do it just because it's a lot of work.
619400	624400	But we got to a point where there was enough expertise in the community for us to actually go ahead and build that.
624400	629400	So how many people are involved in an effort like this?
629400	634400	Yeah. So from our core team, we have Frank who pretty much leads this effort.
634400	636400	He spends a lot of time on this.
636400	642400	There is a little bit of upfront work, you know, to get to a place where there is one-to-one parity with what Vercel offers.
642400	644400	And then from there, it's more maintenance.
644400	649400	And then in terms of help in the community, I think we have like five or six people that are pretty much talking about this all day.
649400	657400	None of us at SST are actually Next.js users, which is kind of funny because we're the ones that are behind this effort.
657400	661400	So we're not experts in the details of how Next.js should work or it's exact features.
661400	666400	We really rely on our community to report how things are working and what things aren't exactly right.
666400	674400	And they find a lot of really obscure things like they'll figure out, oh, we need to pass this explicit header for like this very specific feature to work, things like that.
674400	683400	Let's move through the different parts of Next.js and we'll sort of like map those to what are the Amazon products.
683400	688400	So at its very core, Next.js splits its routes.
688400	693400	So every time you go to a URL, it makes that into a serverless function. Is that right?
693400	696400	So not exactly.
696400	703400	So the build output outputs a single function that handles all of your routes.
703400	710400	So that means it's all bundled into like one kind of fat lambda function.
710400	715400	And then they do have their edge function concept, which is a little bit separate.
715400	724400	Okay, so literally every single route is all bundled into one app and run on one serverless function.
724400	729400	Because I remember when Vercel was, was it now?
729400	731400	And they moved away from node.
731400	737400	And I had an express app running on node and they're like, yeah, just throw it in a lambda function.
737400	739400	And it's like that it doesn't fit.
739400	742400	Like it's way too large for that type of thing.
742400	744400	So like, is there a hard limit?
744400	747400	For some reason, I thought that they split it up per URL.
747400	754400	So they're literally throwing your entire application back end API routes and everything into one serverless function.
754400	761400	Well, so I suspect what Vercel does internally might be a little bit different than the build output that the open source Next.js produces.
761400	762400	So yeah, you're right.
762400	765400	Bundling everything to a single function is not great long term.
765400	769400	If you have one dependency on one route, that is really large.
769400	773400	Something that's hitting the cold starts of like all the routes in your application.
773400	780400	So I suspect that Next.js or Vercel might, when they deploy on to their platform, they might do some kind of splitting.
780400	781400	It's challenging.
781400	784400	It's easy with stuff like API routes, like API routes split nicely.
784400	790400	But it is a little bit trickier with with UI routes that nests and especially with the new app layout stuff.
790400	802400	Yeah, yeah, that always got me not just on Next.js, but in general, where it's like, yeah, you put everything into your own and every single route has its own package JSON.
802400	807400	And that's annoying to me because I was like, I don't want every package JSON for every single function.
807400	812400	And then other people say, well, okay, now you have the special package that shared code.
812400	817400	And you can put anything you want in there that shared code, but then I'm like, well, okay, now I have to decide.
817400	821400	Can I just put it where I want it and it will like figure it out from there?
821400	830400	And I'm assuming, or I'm not assuming, maybe that's what Vercel does on their end is they do a bunch of tree shaking or whatnot to make the functions as small as possible.
830400	835400	Because nice and small that deploy super quick, you get nice cold starts.
835400	838400	It's really sweet when that stuff does work.
838400	841400	Yeah, and that's a pattern that we actually encourage.
841400	844400	Our main framework SST, we talk about something similar.
844400	850400	You don't want to, at author time, you don't want to think about it as like these complete discrete separate things.
850400	853400	You want to build like one big application.
853400	856400	And at deploy time, you want it to be broken down and tree shaking and all that.
856400	859400	And that's that's exact pattern we like.
859400	866400	And that's what we encourage because yeah, thinking that granularly when you're building something is just kind of annoying.
866400	870400	And then the next jazz has a concept of middleware.
870400	873400	And those are deployed to the edge.
873400	875400	Can you give us a quick rundown?
875400	879400	We've talked about it on the show a few times, but I'm sure people are still not really familiar.
879400	880400	What is the edge?
880400	882400	Yeah, so this one is really tricky.
882400	888400	So the reason this is tricky for us to implement is Vercel itself runs primarily on AWS.
888400	895400	So when you run a function on XDS, sorry, on Vercel, it's keeping these two confused.
895400	899400	On Vercel, it runs in AWS.
900400	903400	But a lot of their edge stuff is powered by CloudFlare.
903400	909400	So when the middleware runs at the edge, it's not running in AWS data center, it's running in a CloudFlare data center.
909400	913400	And CloudFlare data centers, there's a lot more of them and they're closer to the end user.
913400	917400	And they're less capable, but good enough to run things like middleware.
917400	922400	So a big challenge for us is, okay, if you want to self-host all of next jazz, including the middleware,
922400	925400	we have to deploy that middleware inside AWS.
925400	930400	That means there's different constraints that we have to abide by that Vercel does not.
930400	933400	Because they can pick whatever architecture they want.
933400	934400	Yeah, yeah.
934400	937400	It's actually kind of nice if you go to a vendor and they say, you know what?
937400	940400	We'll just, we'll figure it out for you, we'll make it fast.
940400	949400	So the limitations we're talking about with edge functions, and this is true for running in Dino in CloudFlare workers.
949400	954400	And there's a couple other runtimes we've talked about is that it's not a no jazz environment.
954400	957400	It's a JavaScript web environment.
957400	961400	And you only have a certain set of APIs available to you.
961400	966400	So I converted a tiny little site the other day and I was like, you know what?
966400	971400	I'm going to run it on Netlify Edge, which is it runs in Dino.
971400	977400	So you can't use any Node.js APIs unless Dino supports them and large packages and whatnot.
977400	980400	So there's like a little bit of a limitation, but the upside is what?
980400	983400	It's much faster and quicker to load.
983400	988400	And they literally deploy them to hundreds of different server locations around the world.
988400	989400	Yeah, exactly.
989400	994400	So if you look at traditional Lambda functions on AWS, they're not opinionated about what language you use.
994400	997400	You can use a variety of different languages that they support natively.
997400	1000400	You can bring your own custom runtime for languages you want.
1000400	1002400	And that constrains their architecture.
1002400	1006400	They have to build a functions platform for running any arbitrary code.
1006400	1011400	Some of these Edge platforms like CloudFlare, they, again, it's all about narrowing scope.
1011400	1014400	Whenever you narrow scope, you can really up the quality.
1014400	1019400	They're saying you can not only just, you can train not only to JavaScript,
1019400	1022400	but a very specific flavor of the runtime that we provide.
1022400	1024400	It's good enough for most things.
1024400	1027400	If you accept these constraints, we can do some really interesting things.
1027400	1029400	And one of those things is basically zero cold start.
1029400	1034400	They're billing on the CloudFlare Edge's billing is pretty incredible.
1034400	1036400	Let me see if I can explain this.
1036400	1042400	So if you only pay for compute time, that means if your function starts, compute some stuff,
1042400	1047400	then makes a network request and it waits 500 milliseconds to network request.
1047400	1050400	You're not actually being billed for that waiting time.
1050400	1054400	You only build when the network request comes back and you're using the CPU again.
1054400	1062400	And that creates a very simple concept, but it creates so many things and so many opportunities for things you can build that
1062400	1065400	isn't exactly possible on a traditional functions platform.
1065400	1072400	I remember seeing that because I remember looking at the 10 milliseconds or something like that on CloudFlare workers.
1072400	1075400	I was like, that's not enough.
1075400	1079400	And then who's possibly running code in 10 milliseconds?
1079400	1080400	And that's it.
1080400	1081400	But I've never hit that.
1081400	1082400	I've never hit the issue.
1082400	1085400	And somebody explained to me, no, it's not.
1085400	1092400	If you're fetching a big thing that CloudFlare workers is really good at is proxying web pages.
1092400	1097400	So if you're going to NBA.com and downloading all of the HTML and then waiting for it to come back,
1097400	1099400	you're not paying for that time.
1099400	1100400	And that's wild.
1100400	1102400	Like, did they just not charge you for it?
1102400	1106400	Or did they literally spin it down while you're waiting for that?
1106400	1107400	Yeah.
1107400	1111400	So technically they are not paying for like your function is off the CPU at that point.
1111400	1115400	It's just waiting for the network hardware to say, hey, it's done downloading.
1115400	1117400	I have a payload for you.
1117400	1119400	So there still is like a memory cost for them.
1119400	1122400	But the CPU cost is what's limited.
1122400	1128400	So they can have other customers running on that CPU while you're waiting for your request to come back.
1128400	1133400	And that's how they basically sell the same second multiple times multiple people.
1133400	1136400	And it's a model that can work really well at scale.
1136400	1137400	Wow.
1138400	1145400	And that's another thing that people often understand is that like if you look at pricing for a lot of these things,
1145400	1147400	they charge you by compute hour.
1147400	1150400	Just regular people look at it and go like, how do I do that?
1150400	1153400	Do you have any like tips on like, how would you calculate that type of thing?
1153400	1158400	Or is it just a, you got to see pricing is a funny thing in a serverless world.
1158400	1160400	It's pretty much in hindsight.
1160400	1164400	And I would say, I think people try to come up with ways to figure out costs ahead of time.
1164400	1167400	I think the reality is you don't know the cost ahead of time.
1167400	1170400	It's more around shifting your mindset around what your costs are.
1170400	1173400	I think we're used to paying for things in a monthly way.
1173400	1177400	Now, like if you think about our personal lives, we pay monthly bills.
1177400	1181400	But when it comes to cloud infrastructure and things involving your business,
1181400	1190400	I think it's better to think about it as marginal cost where you just need to make sure that you are charging someone else more than what your marginal cost is.
1191400	1194400	So to serve one request, it costs you a penny.
1194400	1196400	Make sure you're charging 10 cents for that.
1196400	1200400	That way it doesn't matter what your monthly bill is because if you scale up 100 X,
1200400	1202400	your margin still makes sense, right?
1202400	1206400	You're never going to go negative as long as you're thinking about like the unit economics there.
1206400	1208400	But it is tricky.
1208400	1212400	Like the pricing is on intuitive and it's not even compute hour now.
1212400	1213400	It's like per millisecond.
1213400	1215400	Like how many milliseconds are you going to use this month?
1215400	1218400	It's not really something that you can really guess.
1218400	1221400	You can look at it in hindsight and see what's what.
1221400	1225400	Can it be like incredibly cheap to run stuff on this as well though?
1225400	1228400	Yeah, I think there's a lot of confusion around pricing.
1228400	1234400	I think people, I've heard people instinctively say serverless stuff is really expensive.
1234400	1238400	I've also heard people instinctively say that it's not expensive.
1238400	1240400	In practice, it's insanely cheap.
1240400	1243400	And the numbers and the way you compute the numbers are a little bit counterintuitive,
1243400	1246400	which is why people might perceive them as being expensive.
1246400	1249400	But it is like unbelievably cheap.
1249400	1253400	Like I don't think I've had a bill more than like $5 or something.
1253400	1257400	And I run some stuff like serious traffic.
1257400	1263400	And I think the culture at least with AWS is they have never raised prices ever.
1263400	1267400	There's some services that are now 99% cheaper than they were when they launched.
1267400	1272400	They know the moment that they leave room that someone else is going to come in and offer a cheaper service.
1272400	1275400	So you'll just see prices go down and down and down.
1275400	1281400	As one of my favorite examples of this is Lambda, let me see if I can remember the exact numbers.
1281400	1284400	So they used to charge per 100 milliseconds.
1284400	1290400	So if you had a request that took 20 milliseconds, you were being charged for 100 milliseconds.
1290400	1295400	Then one day they came out and they said, okay, we're now going to charge you per millisecond.
1295400	1300400	That means your costs are now 80% cheaper overnight without you doing anything.
1300400	1302400	And there's a million examples of this.
1302400	1307400	And I think people kind of worry about with all these very cloud native services.
1307400	1308400	Am I going to get trapped?
1308400	1311400	And they're going to jack the price up and I'm going to be screwed.
1311400	1317400	Historically, at least with this modern set of companies, they understand the mistakes of the previous generation of companies.
1317400	1319400	I try to do that.
1319400	1322400	And I know that they got to make sure prices keep going down.
1322400	1329400	I'll give you another example of I host my course platform on render as a long-running node app.
1329400	1339400	I've been really looking at moving it over to serverless lately because specifically because I have pull request previews on my pull request.
1339400	1342400	And I had a pull request sitting there for three or four months.
1342400	1344400	I wasn't ready to deal with it.
1344400	1347400	And then I had three or four running for a couple of weeks.
1347400	1355400	And then I realized like every single pull request is another VM that is spun up and run until I merge the pull request.
1355400	1366400	And if your regular VM costs $10 a month and then you have six more pull requests running at $10 each a month, that gets out of hand really quickly.
1366400	1369400	And the obvious answer is merge and quick.
1369400	1370400	It's cheaper to do that.
1370400	1378400	But I thought like, man, if this was serverless functions, it literally would not run until I click the URL and that thing will spin up again.
1378400	1381400	Yeah, that's kind of why some of these costs are counterintuitive.
1381400	1385400	It's easy to think about just a very narrow version of your production environment.
1385400	1388400	Like think about like one container running production.
1388400	1391400	But that container has to be at least reasonably highly available.
1391400	1396400	Then you have like your dev environments and your pull request environments and all these add up.
1396400	1398400	And it's not just your compute part of it.
1398400	1401400	It's can you pay for your database in a serverless way?
1401400	1406400	If you can, then you can have a separate database for each pull request environment and it's costing you nothing.
1406400	1413400	So a lot of we see a lot of people coming to serverless specifically for the developer environments and the pull request environments.
1413400	1416400	What about images and assets?
1416400	1419400	So I know Next.js has really nice image component.
1419400	1421400	I'll let you resize on the fly.
1421400	1425400	Is that type of thing something you can also do in the serverless world?
1425400	1429400	Yeah, so their standard build output outputs a function that can do that.
1429400	1432400	And we just deploy that as another serverless function.
1433400	1438400	And it actually that part actually works pretty nicely out of the box.
1438400	1442400	I think the thing with that is there's not anything specific to your application.
1442400	1447400	Like that image resizing and all those tools are like a generic solution, right?
1447400	1448400	You just pass in.
1448400	1451400	It's just going to pass an image that you need and handle the resizing.
1451400	1454400	So that is something that we support in the self-hosted version.
1454400	1458400	And yeah, it's like sitting behind a CDN and all that.
1458400	1459400	So it's optimized.
1459400	1460400	Awesome.
1460400	1465400	And then the CDN is so cloud flare or sorry, not cloud flare.
1465400	1469400	Yeah, cloud front and S3, right?
1469400	1470400	Is it using both of those?
1470400	1471400	Yeah.
1471400	1475400	So when we build your Next.js app, there's a few things that it spits out.
1475400	1477400	There's a bunch of static files that don't change.
1477400	1483400	And those get uploaded to S3 that gets put behind a CDN, which is cloud front.
1483400	1486400	Your functions actually get put behind the CDN as well.
1487400	1490400	And there's also your functions for your main application.
1490400	1492400	We also deploy some edge functions.
1492400	1494400	So AWS does support edge functions.
1494400	1498400	And those actually live in the same environment as the CDN.
1498400	1502400	We deploy edge functions there for the Next.js middleware, middleware stuff.
1502400	1508400	So what is, so I'm actually looking at, I primarily use Svelte and Svelte kit myself.
1508400	1512400	And they have this adapter situation where you can have an output adapter.
1513400	1518400	I found basically the Svelte kit adapter, AWS CDK.
1518400	1522400	And they have very similar diagrams to kind of what you have going on, right?
1522400	1526400	You have the S3 buckets, you have cloud fronts for the CDN and the static assets
1526400	1528400	for an S3 bucket.
1528400	1533400	Is the CDK a layer on top of something that Amazon is doing?
1533400	1539400	Or is that just a name for how you develop cloud applications locally?
1539400	1544400	Yeah, so when you start looking at AWS, you realize it's just like crazy amount of layers.
1544400	1547400	So let me see if Anttraces all the way down.
1547400	1553400	So AWS has an infrastructure as code tool called CloudFormation.
1553400	1558400	All this means is instead of going into AWS UI, clicking a bunch of things to configure something,
1558400	1561400	you can do this all in this YAML specification.
1561400	1562400	It's terrible.
1562400	1563400	Nobody should be using it.
1563400	1565400	Everyone hates using it.
1565400	1570400	So they built a layer that compiles to CloudFormation called CDK.
1570400	1575400	So instead of writing YAML, you can write types.
1575400	1577400	I have a lot of issues with CDK.
1577400	1582400	They optimize it so you can write it in a variety of different languages, like TypeScript, Python,
1582400	1588400	I think Java, Go, a few others and all compiles down into this CloudFormation YAML.
1588400	1592400	99% of people, I think they're just using it in TypeScript.
1592400	1594400	So I just wish they just optimized for TypeScript.
1594400	1597400	I'm trying to make something multi-language.
1597400	1602400	And so today, a modern application on AWS, I think CDK is a pretty good option.
1602400	1607400	A lot of people are still using CloudFormation directly just because they have the experience with it.
1607400	1611400	And SST, the thing that we build is actually built on top of CDK.
1611400	1614400	So we have a lot of experience with CDK and some of the internals there.
1614400	1620400	So if somebody opts to use CDK, are they opting in to paying for that as a bit more of a service,
1620400	1623400	or are they still paying just for the underlying services?
1623400	1627400	Yeah, so there's no charges associated with CloudFormation.
1627400	1629400	So it's just a way for you to deploy stuff.
1629400	1635400	Yeah, so we had a while back, we had Brian LaRue from Begin,
1635400	1640400	which they seem to be switching gears a little bit, which is kind of interesting.
1640400	1644400	So he runs a project called Architect, which is Arc.Code.
1644400	1649400	And that, basically, it's your infrastructure as code,
1649400	1652400	and that will compile to a CloudFormation.
1652400	1654400	It's funny. There's lots of people building it on top.
1654400	1657400	So we talk about that.
1657400	1660400	I'll talk about one more, and then let's get into what SST is.
1660400	1664400	So there's another one that people keep recommending to me, and that's Terraform.
1664400	1667400	Are you familiar with that? Can you explain what that is?
1667400	1672400	Yeah, so Terraform is another infrastructure as code tool that is not tied to any specific Cloud provider.
1672400	1674400	I actually am a huge fan of the Terraform ecosystem.
1674400	1677400	I used to build everything in Terraform, like,
1677400	1682400	made for, like, four or five years before I moved to working on SST.
1682400	1688400	Their interface is, it's not YAML, but it is a similar configuration language.
1688400	1693400	I would say it's a lot better than YAML, but you can basically configure anything.
1693400	1697400	You can configure stuff in AWS, you can configure stuff in CloudFlare.
1697400	1699400	You can, like, make it turn on a light in your house.
1699400	1702400	Like, you can kind of use it for literally anything,
1702400	1707400	and it's basically a way to describe the state of any system
1707400	1712400	and have it, you know, retain that state and make changes to it over time.
1712400	1718400	It's a great, like, neutral open source tool that's not tied to any one specific vendor.
1718400	1725400	And we're actually looking not anytime soon, but long-term we would like to be more built on top of Terraform
1725400	1730400	than built on top of CDK, just so we have access to some of the larger ecosystem.
1730400	1731400	Yeah.
1731400	1737400	All right, so you've talked about SST quite a bit, but, like, let's give us a 30-minute or nothing,
1737400	1742400	a 30-second, one-minute rundown of what it is and why are you building this?
1742400	1749400	Yeah, so that premise here is, like I said earlier, AWS is actually a great choice for most companies
